id,nom,groupe_musculaire,equipement,url
overhead-squat,Overhead squat,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/overhead-squat
single-leg-landmine-rdl,Single leg landmine RDL,Ischio-jambiers,Landmine,https://www.docteur-fitness.com/single-leg-landmine-rdl
fente-bulgare-a-elastique,Fente bulgare à l'élastique,Ischio-jambiers,Élastique,https://www.docteur-fitness.com/fente-bulgare-a-elastique
deadlift-jambes-tendues-unilateral-avec-landmine,Deadlift jambes tendues unilatéral avec landmine,Ischio-jambiers,Landmine,https://www.docteur-fitness.com/deadlift-jambes-tendues-unilateral-avec-landmine
deadlift-sumo-aux-halteres,Deadlift sumo aux haltères,Ischio-jambiers,Haltères,https://www.docteur-fitness.com/deadlift-sumo-aux-halteres
squat-avec-rotation-du-tronc,Squat avec rotation du tronc,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/squat-avec-rotation-du-tronc
kettlebell-back-squat,Kettlebell back squat,Ischio-jambiers,Kettlebell,https://www.docteur-fitness.com/kettlebell-back-squat
leg-curl-avec-elastique,Leg curl avec élastique,Ischio-jambiers,Élastique|Machine,https://www.docteur-fitness.com/leg-curl-avec-elastique
souleve-de-terre-jambes-tendues,Soulevé de terre jambes tendues,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/souleve-de-terre-jambes-tendues
leg-curl-allonge,Leg curl allongé,Ischio-jambiers,Machine,https://www.docteur-fitness.com/leg-curl-allonge
presse-a-cuisses-inclinee,Presse à cuisses inclinée,Ischio-jambiers,Machine,https://www.docteur-fitness.com/presse-a-cuisses-inclinee
squat,Squat,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/squat
good-morning,Good morning,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/good-morning
souleve-de-terre-roumain-a-la-landmine,Soulevé de terre roumain à la landmine,Ischio-jambiers,Landmine,https://www.docteur-fitness.com/souleve-de-terre-roumain-a-la-landmine
rack-pull,Rack Pull,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/rack-pull
good-morning-avec-elastique,Good morning avec élastique,Ischio-jambiers,Élastique,https://www.docteur-fitness.com/good-morning-avec-elastique
souleve-de-terre,Soulevé de terre,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/souleve-de-terre
kettlebell-swing,Kettlebell swing,Ischio-jambiers,Kettlebell,https://www.docteur-fitness.com/kettlebell-swing
souleve-de-terre-roumain-avec-kettlebell,Soulevé de terre roumain avec kettlebell,Ischio-jambiers,Kettlebell,https://www.docteur-fitness.com/souleve-de-terre-roumain-avec-kettlebell
presse-a-cuisses-verticale,Presse à cuisses verticale,Ischio-jambiers,Machine,https://www.docteur-fitness.com/presse-a-cuisses-verticale
squat-sumo-a-la-landmine,Squat sumo à la landmine,Ischio-jambiers,Landmine,https://www.docteur-fitness.com/squat-sumo-a-la-landmine
leg-curl-au-ballon-de-gym,Leg curl au ballon de gym,Ischio-jambiers,Machine|Swiss ball,https://www.docteur-fitness.com/leg-curl-au-ballon-de-gym
leg-curl-unilateral-debout-a-la-machine,Leg curl unilatéral debout à la machine,Ischio-jambiers,Machine,https://www.docteur-fitness.com/leg-curl-unilateral-debout-a-la-machine
